example_id,split,sampling_stratum,message,correct_intent,correct_route,good_reply_should_mention,reply_must_not_claim,reviewer_name,human_reviewed,conversation_id,target_tweet_id,history_tweet_ids
amazon_dev_001,dev,challenge,[HANDLE] dear sir my registered mobile no [PHONE] price differ orderd book screenshot [URL],,,,,,NO,147347,147347,
amazon_dev_002,dev,random,"Wish [HANDLE] deliverers would stop breaking into my garden to leave our packages in the ""back porch"" that I don't have!! Package is sodden after being out in the rain for a whole day 😡 Plus we never specified a ""safe space"" to leave it. Why not try a neighbour?? [URL]",,,,,,NO,635783,635783,
amazon_dev_003,dev,challenge,Amazonで返品お願いして出品者から明日連絡先を送りますって連絡きてからもう2日経つけど連絡来ない。届け予定日も守られない、返品についての折り返しの連絡も来ない、どうなってるの？もう二度とあの出品者からは買わない。,,,,,,NO,2767533,2767533,
amazon_dev_004,dev,random,My Wedding App Story🙂😊 Thank you [HANDLE] [HANDLE] [HANDLE] [HANDLE] [HANDLE] [HANDLE] [HANDLE] [HANDLE] [HANDLE] [URL],,,,,,NO,150574,150574,
amazon_dev_005,dev,challenge,[HANDLE] how do I make this stop [URL],,,,,,NO,2790642,2790642,
amazon_dev_006,dev,challenge,"[HANDLE] 4 months after purchase these “amazon basics, taotronics” earphones have packed in. Won’t take a charge or turn on. How do I exchange or get a refund on these? [URL]",,,,,,NO,2602906,2602906,
amazon_dev_007,dev,random,[HANDLE] [HANDLE] I am purchasing 1 item and its cost is of 329rs and in wallet i have 372rs then why they ask for credit card ? I habe to pay with only amazon balance only [URL],,,,,,NO,437902,437902,
amazon_dev_008,dev,random,"We are up to 5 days and counting for the guaranteed ""one day"" delivery by [HANDLE] of a gadget I need to make my home phone work. I think I may have misunderstood and [HANDLE] intented to deliver it ""one day"" not *in* one day. Deceptive marketing!",,,,,,NO,2774173,2774173,
amazon_dev_009,dev,random,"[HANDLE] I treated myself to some Philips hue bulbs, my orders page shows arriving Monday but the tracking page shows arriving tomorrow by 8pm, I do have Amazon prime, which one should I believe? I'd rather tomorrow as I'm working Monday! Cheers",,,,,,NO,155169,155169,
amazon_dev_010,dev,challenge,[HANDLE] you guys are going down the drain with your quality. Received sub standard products with different brand against the order that you damaged good. Are taking customer money and rolling it in your system. customer care not helpful,,,,,,NO,1387185,1387185,
amazon_dev_011,dev,random,"Omg my Platinum won't arrive until Dec 6th!? What's wrong with you [HANDLE], we're on the same bloody continent and it was PREORDERED",,,,,,NO,114333,114333,
amazon_dev_012,dev,random,Don't know whats going with [HANDLE]. Back to back disappointment even after paying for prime delivery service. Very disappointed with it,,,,,,NO,2078628,2078628,
amazon_dev_013,dev,random,"[HANDLE] el jueves 16 de noviembre me tenía q llegar un pedido, pasó a ser el 17 y hoy día 20, todavía nada. Las opciones de la App de Amazon no me resuelven nada. No quiero cancelar el pedido, quiero q me llegue. Gracias!",,,,,,NO,2719970,2719970,
amazon_dev_014,dev,random,"Far from impressed with @[PHONE] (!!) days in row where I have been at home waiting for parcels only for delivery drivers not to even attempt knocking on my door, either leaving packages elsewhere (leaving me no card) or today just leaving it outside for anyone to take! 😠 [URL]",,,,,,NO,2238648,2238648,
amazon_dev_015,dev,challenge,"Good morning, I would like to know if you can help me with my account lock on [HANDLE]. Realize the purchase of some products but they ask me to send a fax with the summary of the card. Someone could help me? [HANDLE]",,,,,,NO,605018,605018,
amazon_dev_016,dev,random,[HANDLE] leave my house to find my parcel (containing an electrical item) has been chucked over the fence in the rain. Great service 👌 [URL],,,,,,NO,639431,639431,
amazon_dev_017,dev,challenge,[HANDLE] [HANDLE] I manage to get into my account but you’re still blocking my purchases.,,,,,,NO,124106,124106,
amazon_dev_018,dev,random,[HANDLE] any updates on this product that was preordered to arrive today? [URL],,,,,,NO,2736191,2736191,
amazon_dev_019,dev,random,Habe ich das richtig verstanden das ich jetzt auf den Echo Geräten in in allen Räumen die gleiche Musik hören kann oder gar unterschiedliche? [HANDLE],,,,,,NO,149297,149297,
amazon_dev_020,dev,random,"Before #BlackFriday2017 Be aware that contacting [HANDLE] Customer Support SUCKS! They make it easy to order, but impossible to make a customer service request! ...You try it... Duh!",,,,,,NO,661400,661400,
amazon_dev_021,dev,challenge,[HANDLE] I asked for the 2nd one to be shipped in a box and it wasn't. You would think electronic devices would be shipped this way and it shouldn't have to be requested.,,,,,,NO,633739,633738,633739|633737
amazon_dev_022,dev,random,"[HANDLE] , can you tell me the difference in Amazon play store app and the underground app? Want to uninstall one. Two notifications all time makes it difficult to keep both. Thanks",,,,,,NO,2760905,2760905,
amazon_dev_023,dev,random,"[HANDLE] Folks, Alexa’s Indian accent is terrible. Yet, I can’t use any service in India until I choose that. Can I enter a separate locale and accent setting?",,,,,,NO,703040,703040,
amazon_dev_024,dev,random,"[HANDLE] my daughters kindle screen is breaking, who do I need to contact?",,,,,,NO,156772,156772,
amazon_dev_025,dev,random,[HANDLE] Am confused as to what I am paying for Prime delivery for when I can get anything delivered until next Tuesday?! Can you explain?,,,,,,NO,138221,138221,
amazon_dev_026,dev,random,[HANDLE] I am giving my partner a Fire tablet as a birthday present & I want to add Prime as well? Is there a gift card available?,,,,,,NO,444415,444415,
amazon_dev_027,dev,random,[HANDLE] I ordered something a week ago and it still hasnt shipped. I'm a prime member. Why are my orders grouped together instead of singularly shipped if there are delays?,,,,,,NO,2798324,2798324,
amazon_dev_028,dev,random,"[HANDLE] I think Indian Alexa should come equipped with multiple languages. Cause at some point, you're gonna feel foolish speaking exclusively in English at home...#justsaying",,,,,,NO,2467957,2467957,
amazon_dev_029,dev,random,"[HANDLE] your amazon customer service so far is appalling, making excuses for crimes being committed by your delivery personnel, and then hiding behind empty justifications and 'standard policy' #criminals #thecustomeralwayscomeslast",,,,,,NO,118803,118803,
amazon_dev_030,dev,random,"[HANDLE] I figured it out, I have to enter the action before I enter the phrase, the app does not make it appear this way, they are both shown and you select either one to begin setting up the Routine.",,,,,,NO,2238576,2238576,
amazon_dev_031,dev,challenge,"[HANDLE] [HANDLE] [HANDLE] The mailman is a real piece of work. Said it wasn't worth the liability, so everyone could just pick it up at the post office. I'm working the entire time po is open...",,,,,,NO,2806658,2806658,
amazon_dev_032,dev,random,[HANDLE] whats point having #AmazonPrime when the delivery is 3 days not 1?,,,,,,NO,2828057,2828057,
amazon_dev_033,dev,random,"[HANDLE] Appalling service lately. Items marked as delivered when not, no emails just Customer Services who say ‘It’s been delivered’....on top of being two days late on Prime",,,,,,NO,132348,132348,
amazon_dev_034,dev,random,[HANDLE] get ur shit together and deliver my reputation CD and magazines asap,,,,,,NO,701327,701327,
amazon_dev_035,dev,random,GG [HANDLE] one day delivery that takes 5 days [URL],,,,,,NO,138248,138248,
amazon_dev_036,dev,challenge,Insupportable d’attendre un colis [HANDLE] pendant 25 jours quand tu es abonné [HANDLE] #durdur,,,,,,NO,141074,141074,
amazon_dev_037,dev,random,[HANDLE] Why do the videos stutter at the beginning whenever I play a video from the TV app? Never had such problems with Netflix.,,,,,,NO,158872,158872,
amazon_dev_038,dev,challenge,"[HANDLE] [HANDLE] i've also gone ahead and contacted the show licenser: [HANDLE] about this issue, in an attempt to get this fixed, ASAP",,,,,,NO,181313,181313,
amazon_dev_039,dev,random,The fancy new cat bed just arrived from [HANDLE] #Catinacardboardbox [URL],,,,,,NO,2152008,2152008,
amazon_dev_040,dev,challenge,[HANDLE] [HANDLE] I regret that I bought a 💻 from you. Got a wrong bill now the manufacturer is denying warranty. And your support team is no less than a nightmare..wasted my 3hrs just to listen the routine answer..Expecting some urgent help,,,,,,NO,442785,442785,
amazon_dev_041,dev,random,I paid for 2 day shipping for an item and it’s taking 4 days which means it won’t be here in time for when i need it. I want all my damn money back [HANDLE]. Fucking annoying.,,,,,,NO,2697150,2697150,
amazon_dev_042,dev,challenge,"Ich freue mich ja immer über sowas [HANDLE], aber ich habe schon Prime. 🤔 (Vielleicht solltet ihr das nächste mal darauf achten, an welche Menschen ihr eure Briefe schickt. 😅) [URL]",,,,,,NO,144188,144188,
amazon_dev_043,dev,random,[HANDLE] I downloaded the Kindle app a few hours ago and still haven't gotten a confirmation email or $5 credit. Can you help? [URL],,,,,,NO,164864,164864,
amazon_dev_044,dev,challenge,[HANDLE] The big sick estará disponible en México?,,,,,,NO,128094,128094,
amazon_dev_045,dev,random,"In the last year, the reliability of [HANDLE] delivery has gone downhill noticeably, especially with packages they deliver themselves",,,,,,NO,2775906,2775906,
amazon_dev_046,dev,random,[HANDLE] seguimiento de pedido imposible. Numero de tracking [HANDLE] no valido. Retraso considerable. STOP.,,,,,,NO,612728,612728,
amazon_dev_047,dev,challenge,Tío [HANDLE] ya llegó de visita. Prime de 24 horas: 💯 [URL],,,,,,NO,2746056,2746056,
amazon_dev_048,dev,random,[HANDLE] explain why you are no longer offering 1 day delivery for prime member. looked at many items but non would be delivered before Wed next week despite being offered as prime so will buy them elsewhere. Not fulfilling your contract. its a faster service in the US. V poor,,,,,,NO,2602944,2602944,
amazon_dev_049,dev,random,[HANDLE] can I still get my battery changed by amazon on my kindle third generation,,,,,,NO,2698907,2698907,
amazon_dev_050,dev,random,"[HANDLE] can ""Warehouse Deals"" be returned? Thanks",,,,,,NO,141077,141077,
amazon_test_001,test,random,"[HANDLE] [HANDLE] when can we expect the video skills in Alexa app. There is no ""Music, Video, & Books"" in Alexa app Indian edition as opposed to the doc at [URL]",,,,,,NO,489514,489514,
amazon_test_002,test,challenge,え.........Amazonのギフト券買ってないし、誰からも貰ってないのに勝手に5000円分入ってるんだけど😨怖いから使わないようにしよ。これは新手の詐欺なのか？誰か教えて〜😱 [URL],,,,,,NO,2887322,2887322,
amazon_test_003,test,random,Just got off the phone with an Amazon Customer Service Rep from Honduras and my order is on way? and I'm pretty sure I'm engaged now.,,,,,,NO,89099,89099,
amazon_test_004,test,random,[HANDLE] are very happy to take my £8 a month for Prime but now it’s almost December their “one day delivery” takes 3 days!! What’s the point #cancelprime [URL],,,,,,NO,2852232,2852232,
amazon_test_005,test,challenge,[HANDLE] I still don't have jackets for all my books. [URL],,,,,,NO,543578,543578,
amazon_test_006,test,random,[HANDLE] Just got Fire Stick today. Plugged it in. Nothing is happening. Screen is blue & blank. None of the troubleshooting suggestions have worked. Just got it today. Ready to send back! 😠,,,,,,NO,2867223,2867223,
amazon_test_007,test,challenge,"[HANDLE] [HANDLE] It was sent with their personal same day delivery trucks, so if they’re gonna deliver it a day late seems like their inflating their “delivery on times stats” by pretending it was delivered online ¯\_(ツ)_/¯",,,,,,NO,502539,502539,
amazon_test_008,test,random,Nice job [HANDLE]! You’re earning a lot of brownie points with me. Pretty sad that this is yet another item that was shipped right away and now it’s not arriving on it’s planned date. This is the message I received. In another message it states they “think” it’ll come Dec. 1. [URL],,,,,,NO,463414,463414,
amazon_test_009,test,random,[HANDLE] So uhh.. when is this Echo Spatial Perception feature coming out? Because it sure doesn't exist currently. [URL],,,,,,NO,551985,551985,
amazon_test_010,test,random,[HANDLE] I’m trying to make a purchase online but when I get to dispatch and select delivery option for amazon locker it doesn’t let me move on and loops round on this page!! Is there an issue with the site?,,,,,,NO,2853647,2853647,
amazon_test_011,test,random,[HANDLE] I have a ‘lost’ parcel but apparently unable to request a replacement. Why is this? What happens next?,,,,,,NO,529952,529952,
amazon_test_012,test,challenge,[HANDLE] Hi. We accidentally bought multiple copies of a Kindle book and only need 1. Can you help us return the extra ones? It's a Xmas present so we're unable to log onto the individual's Kindle. Thx!,,,,,,NO,462459,462459,
amazon_test_013,test,challenge,[HANDLE] what is up with your customer service? All.want is to purchase a NFL Jersey but it's locked up in subscribe and save and won't let me purchase the Jersey. I try live chat but it told me my chat time has expired. What's up with that?,,,,,,NO,458976,458976,
amazon_test_014,test,random,[HANDLE] i have been waiting for a parcel which has been dispatched and said to arrive on Friday 13th October and still hasent arrived?,,,,,,NO,2960535,2960535,
amazon_test_015,test,random,[HANDLE] put something in my cart last night to order in the morning and the priced went up 5 bucks. Same thing with my husband priced up 50 this morning. #AngryAmazonprimeMember,,,,,,NO,2832998,2832998,
amazon_test_016,test,random,[HANDLE] Daily I have been playing your quiz on Amazon App. Where do you declare the winners of these quiz? And How do I know if I am a winner?,,,,,,NO,493296,493296,
amazon_test_017,test,challenge,キリがいいので、今日からアマゾンプライム会員になった 今日からだとちょうど年末で無料期間終わって来年から年契約課金になるから、覚えやすい,,,,,,NO,527613,527613,
amazon_test_018,test,random,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from [HANDLE] Prime. I hope the good mailman/lady is on our route on Tuesday! [HANDLE] [URL],,,,,,NO,560625,560625,
amazon_test_019,test,challenge,[HANDLE] [HANDLE] messafe to amazon please dont use this company they are complet bull cheats and rude!,,,,,,NO,83445,83445,
amazon_test_020,test,random,"Have to say [HANDLE] are amazing. Their delivery company is the opposite. One driver left a package outside of a closed company at 8pm and the other left it on the driveway, where if someone backed out if the garage, it would be crushed. Impossible to detect. Like really?",,,,,,NO,563017,563017,
amazon_test_021,test,random,"hey. HEY. [HANDLE] how is it that [HANDLE] can identify two editions are the same, but you can't? i rebought a kindle book i already had because of this!",,,,,,NO,562991,562991,
amazon_test_022,test,random,When [HANDLE]’s 2 day delivery turns into 3 days.............. 🙄,,,,,,NO,2962796,2962796,
amazon_test_023,test,challenge,Life update: cheered myself up by purchasing all the chocolate in the world using [HANDLE] luxury food and drink store. HELLO posh treats 🍫🍫🍫 #AmazonLuxeGifts #AmazonUK [HANDLE] [HANDLE] [HANDLE] [HANDLE] [URL],,,,,,NO,2939292,2939292,
amazon_test_024,test,random,[HANDLE] stop advertising items as same-day delivery if you cannot make good on that,,,,,,NO,2957000,2957000,
amazon_test_025,test,challenge,アマゾンの配送料無料になっとるじゃん！って思ったら知らぬ間にプライムだった,,,,,,NO,2936592,2936592,
amazon_test_026,test,challenge,[HANDLE] [HANDLE] [HANDLE] your two day Prime delivery guarantee is worthless. I'm going to have my entire order charged back.,,,,,,NO,459917,459917,
amazon_test_027,test,random,[HANDLE] guaranteed one day delivery turns into a week later cause of a courier that is obviously terrible by looking at your page. I have 16 Xmas gifts for my team for a party tomorrow in their warehouse and they won’t answer the phone.,,,,,,NO,503495,503495,
amazon_test_028,test,random,Big shout out to #Dynamax for making my one day shipping last over two days... Still didn't get my package. [HANDLE] should no longer support this delivery service.,,,,,,NO,553328,553328,
amazon_test_029,test,random,"[HANDLE] one of your drivers has left my parcel somewhere , not notified me where at all and no one is answering on your investigations team???",,,,,,NO,2883331,2883331,
amazon_test_030,test,random,This doesn’t make any sense [HANDLE] why do I pay for prime? [URL],,,,,,NO,2919844,2919844,
amazon_test_031,test,random,"You've outdone yourselves this time [HANDLE]. I saw the delivery guy hanging around outside, so went out and asked if it was a parcel for me (gave name and address) and he said no. 5 minutes later I get a message that my parcel has been delivered and left behind the wheelie bin!",,,,,,NO,2945607,2945607,
amazon_test_032,test,random,I have pre ordered fifty shades darker told by Christian it's out tmw but I don't get it till Wednesday [HANDLE] why is that not happy at all,,,,,,NO,2852092,2852092,
amazon_test_033,test,random,[HANDLE] two simple items I could have bought locally 5 days and they can't deliver.... bad bad bad. #disappointed with [HANDLE],,,,,,NO,519768,519768,
amazon_test_034,test,challenge,"Hey [HANDLE], how do I cancel my Prime membership? I’ve searched the site to no avail.",,,,,,NO,2945556,2945556,
amazon_test_035,test,random,[HANDLE] [HANDLE] hard to ship a product if you don't seal the package.... [URL],,,,,,NO,509373,509373,
amazon_test_036,test,random,"[HANDLE] Hi. Why is live chat unavailable anymore. Also, why is every single prime delivery now delayed for me? I used to think Amazon were brilliant",,,,,,NO,450783,450783,
amazon_test_037,test,challenge,"Dear [HANDLE] [HANDLE] , I haven't ordered any thing to any one but why these mails to my account and actually I don't have any of your app in my Mobile. This is not only one but I have got 4 - 5 frequent mails of the orders. Kindly look into this asap Ty [URL]",,,,,,NO,479311,479311,
amazon_test_038,test,challenge,[HANDLE] Por que no está disponible la nueva temporada de Mr. Robot?? [URL],,,,,,NO,128127,128127,
amazon_test_039,test,random,[HANDLE] I talked to your Indian customer support representative and he said that he is not able to find contact number of seller. Do you really verify sellers before registering? I'm unable to claim my warranty for order of crossbeats headphone as it stopped workng in 5 mnths,,,,,,NO,576468,576468,
amazon_test_040,test,challenge,"[HANDLE] Your site was malfunctioning on Black Friday, and I was unable to purchase the TCL 43 inch TV bc it kept changing it to 28 inches. I was promised - repeatedly- that if I purchased it at $299 you would refund me to the original $127 price advertised - OVER AND OVER!",,,,,,NO,84131,84131,
amazon_test_041,test,random,".[HANDLE] You guys need to stop using [HANDLE] for Prime or anything else. Delivery will not be made as promised today. Who knows when I'll get the package? [HANDLE] is HORRIBLE, as is their customer service.",,,,,,NO,513517,513517,
amazon_test_042,test,random,Hey [HANDLE] thank you for your delivery drivers not understanding how to access apartment complexes with the correct given info. My package is not being delivered even though I've waited all day for it. And after being on customer support telling me I'm screwed. Thanks🤘 #Seattle,,,,,,NO,2871589,2871589,
amazon_test_043,test,challenge,"[HANDLE] you have failed me for the final time, if it wasn’t for the fact I want to see the End of Mr Robot S3 I’d get a refund on Prime today. Your deliveries are always late or left in the road. You send the wrong stuff constantly and your customer service frankly is poor.",,,,,,NO,2900988,2900988,
amazon_test_044,test,random,Hey [HANDLE] can we expect this treatment for every package? This is my neighbor’s delivery on Saturday. 😳 [URL],,,,,,NO,574976,574976,
amazon_test_045,test,challenge,[HANDLE] needs to hire reps who understand what customers are saying. So frustrating! My issue still isn’t resolved. Sad!,,,,,,NO,2927071,2927071,
amazon_test_046,test,random,[HANDLE] [HANDLE] i need a new phone. My old phone is broken. Will you give me a one! Thank you,,,,,,NO,93711,93711,
amazon_test_047,test,random,"oh oh OHHH false alarm, my package has been delayed to tomorrow or even after my birthday!! thanks!, love u [HANDLE] 😘",,,,,,NO,460025,460025,
amazon_test_048,test,random,[HANDLE] [HANDLE] your call center ppl don't speak enough English to understand that you packed parts of 3 orders in a box then put the wrong shipping label and I got 2 items I didn't order instead of the 4 I did,,,,,,NO,2923508,2923508,
amazon_test_049,test,random,"Den Echo Dot find ich super, USB Kabel in den USB Port vom Handschuhfach, Bluetooth Verbindung aufs Auto Radio und eine Hotspot Starter App wenn das Handy in der nähe vom Auto ist... so bedient sich #Spotify doch direkt doppelt so leicht 🤗 [HANDLE]",,,,,,NO,490425,490425,
amazon_test_050,test,random,[HANDLE] poor service as my order for Asus laptop cancelled. Well done #Amazon you always know how to keep your customer happy NOT!,,,,,,NO,2837016,2837016,
amazon_test_051,test,random,Something has gone downhill with [HANDLE] quality control. Last 4 orders there has been an issue. Order didn’t even show up today.,,,,,,NO,2950793,2950793,
amazon_test_052,test,random,Does anyone know how to change Amazon Echo's language to English Canada?It only gives me English US and English UK and it deleted all my skills until I change it to Canada! ARGH #iot #smarthome #tech #amazonecho [HANDLE] [URL],,,,,,NO,454538,454538,
amazon_test_053,test,challenge,Bonjour [HANDLE] j’attends toujours votre appel depuis hier...,,,,,,NO,588687,588687,
amazon_test_054,test,challenge,"[HANDLE] Après l'envoi des informations, vous nous redemandez de nouveau ses infos.Très déçu donc ""black friday""chez vous.Aucune commande mais 3 retraits d'un total de 40 euros.Nous demanderons remboursement en appel TODAY. Un tas d'autres sites vendent également. Cordialement",,,,,,NO,534145,534145,
amazon_test_055,test,random,When [HANDLE] prime 2 day delivery turns into 6. Then Amazon tracking tells me it will be here today but post tracking says tomorrow lol. 7 day prime shipping ftw,,,,,,NO,603165,603165,
amazon_test_056,test,challenge,[HANDLE] [HANDLE] He needs to be told Thank You by someone in your company because he makes a lot more people than just me happy and I promise you he does that everyday.,,,,,,NO,2970548,2970548,
amazon_test_057,test,challenge,My auntie (who I share a birthday with) sent me a really angry text telling me that my present was lost by Amazon but she was never told 😂😂,,,,,,NO,1155412,1155412,
amazon_test_058,test,challenge,"[HANDLE] Ordered Forza 7 on the Black Friday deal, £20. Sold out with a estimated delivery date of JANUARY. However, if I cancel, reorder and pay £40 and get it delivered TOMORROW . How is that fair???",,,,,,NO,535719,535719,
amazon_test_059,test,random,"[HANDLE] Amazon pay balance has been deducted but recharge is still in lending state. Email id : __email__ This is the first time I'm using pay for recharge, really disappointed with the way it worked for me.",,,,,,NO,528238,528238,
